"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:28:26,4129246","ReadyOrNotSteam-Win64-Shipping.exe","6768","Load Image","D:\ReadyOrNotNew\ReadyOrNot\Binaries\Win64\ReadyOrNotSteam-Win64-Shipping.exe","SUCCESS","Image Base: 0x13f3a0000, Image Size: 0x977a000"
"16:28:26,4129888","ReadyOrNotSteam-Win64-Shipping.exe","6768","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x774a0000, Image Size: 0x19f000"
"16:28:26,4130464","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\Prefetch\READYORNOTSTEAM-WIN64-SHIPPIN-4AC37DA4.pf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
"16:28:26,4133778","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\verifier.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:26,4135007","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\verifier.dll","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:26,4136854","ReadyOrNotSteam-Win64-Shipping.exe","6768","Load Image","C:\Windows\System32\verifier.dll","SUCCESS","Image Base: 0x7fecf050000, Image Size: 0x6e000"
"16:28:26,4149379","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","D:\ReadyOrNotNew","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"16:28:26,4175861","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\kexdll.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:26,4176725","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\kexdll.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:26,4178257","ReadyOrNotSteam-Win64-Shipping.exe","6768","Load Image","C:\Windows\System32\kexdll.dll","SUCCESS","Image Base: 0x7fecf010000, Image Size: 0x3f000"
